No,Date,Day,Curator,Source,G,D,T,Problem Statement,Hint 1,Hint 2,Hint 3,Notes,Solved,Solved by,In pdf?,
707,1 Mar 2021,Mon,Joe,"2018 UK IMOK, C5",C,1,,"In the expression below, three of the $+$ signs are changed into $-$ signs so that the following expression is equal to $100$:
$$0+1+2+3+4+5+6+7+8+9+10$$
$$+11+12+13+14+15+16+17+18+19+20.$$
In how many ways can this be done?",,,,,,,,
700,22 Feb 2021,Mon,Tony,Thales' theorem and converse,G,1,,"Points \(A\), \(B\), and \(C\) lie on a circle \(\Gamma\). Show that \(\angle ABC = 90^\circ\) if and only if \(AC\) is the diameter of \(\Gamma\).",,,,,,,,
693,15 Feb 2021,Mon,Joe,Handshaking Lemma,C,1,GR,"Tannie, Teeny, Tiny, Tony and Tuny all meet up in the Sahara dessert in the middle of New Zealand. They then make a bowl of Chinese noodle soup for each of the people in their proximity they are friends with (there is nobody else around). If friendship is always mutual (that is, if you are friends with someone, then they are friends with you), prove that the total number of bowls of noodle soup made is even.",,,,,,,,
679,1 Feb 2021,Mon,Joe,Folklore,C,1,,"On an $n\times n$ chessboard, how many ways can four different squares be selected so that the centres of these squares form the vertices of a rectangle, with sides parallel to the edges of the board?",,,,,,,,
665,18 Jan 2021,Mon,Daniel,"2007 Greece MO, P1 of 4",N,1,,Find all positive integers $n$ such that $4^n + 2007$ is a perfect square.,,,,,,,,
638,22 Dec 2020,Tue,Joe,"2019 UK JMO, B6",CG,1,,"An equilateral triangle is divided into smaller equilateral triangles.

\begin{center}
\begin{tikzpicture}
\fill [gray] (0,0) -- (1, 1.73) -- (2,0) -- (0,0);
\draw [white] (0,0) -- (1, 1.73) -- (2,0) -- (0,0);
\draw [white] (0.5, 0.86) -- (1.5,0.86) -- (1,0) -- (0.5, 0.86);

\fill [gray] (4,0) -- (5, 1.73) -- (6,0) -- (4,0);
\draw [white] (4,0) -- (5, 1.73) -- (6,0) -- (4,0);
\draw [white] (4.4, 0.69) -- (4.8, 0) -- (5.2, 0.69) -- (4.4, 0.69);
\draw [white] (4.8, 1.38) -- (5.6, 0);
\draw [white] (4.8, 1.38) -- (5.2, 1.38) -- (5, 1.04) -- (5.4, 1.04) -- (5.2, 0.69) -- (5.6, 0.69) -- (5.4, 0.34) -- (5.8, 0.34) -- (5.6, 0);
\end{tikzpicture}
\end{center}

The diagram on the left shows that it is possible to divide it into 4 equilateral triangles.

The diagram on the right shows that it is possible to divide it into 13 equilateral triangles.

What are the integer values of $n$, where $n>1$, for which it is possible to divide the triangle into $n$ smaller equilateral triangles?",,,,,,,,
581,26 Oct 2020,Mon,Joe,"2016 UK IMOK, C4",G,1,,"The diagram shows an equilateral triangle $A B C$ and two squares $A W X B$ and $A Y Z C$.
Prove that triangle $A X Z$ is equilateral.

\begin{center}
\tikzset{every picture/.style={line width=0.75pt}} %set default line width to 0.75pt        

\begin{tikzpicture}[x=0.75pt,y=0.75pt,yscale=-1,xscale=1]
%uncomment if require: \path (0,300); %set diagram left start at 0, and has height of 300

%Shape: Square [id:dp7912356786882051] 
\draw   (96,110) -- (196,110) -- (196,210) -- (96,210) -- cycle ;
%Shape: Boxed Line [id:dp7833385391080145] 
\draw    (146,123.4) -- (96,210) ;
%Shape: Boxed Line [id:dp7553088933468859] 
\draw    (146,123.4) -- (196,210) ;
%Shape: Square [id:dp5436818718555383] 
\draw   (232.6,73.4) -- (282.6,160) -- (196,210) -- (146,123.4) -- cycle ;

% Text Node
\draw (81,212.4) node [anchor=north west][inner sep=0.75pt]    {$C$};
% Text Node
\draw (191,212.4) node [anchor=north west][inner sep=0.75pt]    {$A$};
% Text Node
\draw (127,112.4) node [anchor=north west][inner sep=0.75pt]    {$B$};
% Text Node
\draw (81,102.4) node [anchor=north west][inner sep=0.75pt]    {$Z$};
% Text Node
\draw (196,102.4) node [anchor=north west][inner sep=0.75pt]    {$Y$};
% Text Node
\draw (287,152.4) node [anchor=north west][inner sep=0.75pt]    {$W$};
% Text Node
\draw (225,52.4) node [anchor=north west][inner sep=0.75pt]    {$X$};
\end{tikzpicture}
\end{center}",,,,,,,,
560,5 Oct 2020,Mon,Joe,"2015 UK IMOK, H5",C,1,,"Some boys and girls are standing in a row, in some order, about to be photographed. All of them are facing the photographer. Each girl counts the number of boys to her left, and each boy counts the number of girls to his right.

Let the sum of the numbers counted by the girls be $G$, and the sum of the numbers counted by the boys be $B$.

Prove that $G=B$.",,,,,,,,
497,3 Aug 2020,Mon,brainysmurfs,"2020 NZMO1, P2 of 8",G,1,,Let $ABCD$ be a square and let $ X $ be any point on side $ BC $ between $ B $ and $ C $ .  Let $ Y $ be the point on line $ CD $ such that $ BX=YD $ and $ D $ is between $ C $ and $ Y $ .  Prove that the midpoint of $ XY $ lies on diagonal $ BD $ . ,,,,,,,,
477,14 Jul 2020,Tue,Joe,"2019 SMC, P24 of 25",A,1,,"The numbers $x$, $y$ and $z$ are given by $x=\sqrt{12-3\sqrt7}-\sqrt{12+3\sqrt7}, y=\sqrt{7-4\sqrt3}-\sqrt{7+4\sqrt3}, z=\sqrt{2+\sqrt3}-\sqrt{2-\sqrt3}$.
What is the value of $xyz$?",,,,,,,,
441,8 Jun 2020,Mon,Adam,2012 NIMO,A,1,,A number is called purple if it can be expressed in the form $\frac{1}{2^{a} 5^{b}}$ for positive integers $a>b$. Find the sum of all purple numbers.,,,,,,,,
357,16 Mar 2020,Mon,Adam,2001 AMC 12 P16 of 25,C,1,,"A spider has one sock and one shoe for each of its eight legs. In how many different orders can the spider put on its socks and shoes, assuming that on each leg the sock must be put on before the shoe?",,,,,,,,
115,18 Jul 2019,Thu,Tony,"1999 Mexican MO (13th), P2",N,1,,Prove that there are no 1999 primes in an arithmetic progression that are all less than 12345.,,,,,Yes,"Tony, Tanyoshi",No,
1380,3 Jan 2023,Tue,Garlic,"1994 Mexico MO, P1 of 6",N,2,,"The sequence $1, 2, 4, 5, 7, 9 ,10, 12, 14, 16, 17, ... $ is formed as follows. First we take one odd number, then two even numbers, then three odd numbers, then four even numbers, and so on. Find the number in the sequence which is closest to $1994$.",Consider looking for patterns,Consider continuing the sequence,Consider when the parity changes,,,,,
1372,26 Dec 2022,Mon,Daniel,250 Problems in Elementary Number Theory (Sierpinski),N,2,,"Prove that every positive integer $n > 7$ can be written as $n = a + b$ for integers $a, b > 1$ with $\gcd(a, b) = 1$.",Consider primes not dividing $n$,,,,,,,
1366,20 Dec 2022,Tue,Garlic,"1989 Cono Sur Olympiad, P1 of 6",G,2,,"Two isosceles triangles with sidelengths $x,x,a$ and $x,x,b$ ($a \neq b$) have equal areas. Find $x$.",Consider Thales's theorem.,,,,,,,
1358,12 Dec 2022,Mon,Daniel,"2021 Argentina MO Level 1, P2 of 6",C,2,,"On each Olimpiada Matematica Argentina lottery ticket there is a 9-digit number consisting of the digits $1$, $2$ and $3$. Each ticket is coloured either red, blue or green. It is known that, if the numbers of two lottery tickets differ in each of the 9 digits, then they are different colours. If ticket 122222222 is red, and ticket 222222222 is green, what colour is ticket 123123123?",,,,,,,,
1352,6 Dec 2022,Tue,Garlic,Power of a Point,G,2,,"Let $\Gamma$ be a circle and $P$ be a point not on the circumference of $\Gamma$. Suppose that a line $\ell$ through $P$ either intersects $\Gamma$ at two distinct points $A$ and $B$, or it is tangent to $\Gamma$, making $A$ and $B$ the same point. Prove that $PA \times PB$ is independent of $\ell$.",,,,,,,,
1344,28 Nov 2022,Mon,Daniel,"1997 CMO, P4 of 5",G,2,,"Let $ABCD$ be a parallelogram, and $P$ a point in its interior. Show that, if $\angle APB + \angle CPD = 180^\circ$, then $\angle PBC = \angle PDC$.",,,,,,,,
1338,22 Nov 2022,Tue,Garlic,"2022 AMC 12B, P17 of 25, Adapted",C,2,EN,"How many $4 \times 4$ arrays whose entries are $0$s and $1$s are there such that the row sums (the sum of the entries in each row) are $1,2,3,$ and $4$ in some order, and the column sums (the sum of the entries in each colum are also $1,2,3,$ and $4$ in some order? For example, the array 
$$ \begin{bmatrix}
 1 & 1 & 1 & 0 \\
 0 & 1 & 1 & 0 \\
 1 & 1 & 1 & 1 \\
 0 & 1 & 0 & 0 
  \end{bmatrix}$$
satifies the condition. 
$\newline \newline$
More generally, how many $n \times n$ arrays whose entries are $0$s and $1$s are there so that the row sums and column sums are $1,2,3, \dots, n$ in some order?",,,,hi ds,,,,
1331,15 Nov 2022,Tue,Garlic,"2022 AMC 12A, P19 of 25, Adapted",C,2,EN,"Suppose that 13 cards are numbered $1,2,3,\dots,13$ are arranged in a row. The task is to pick them up in numerically increasing order, working repeatedly from left to right. In the example below, cards $1,2,3$ are picked up on the first pass, $4$ and $5$ on the second pass, $6$ on the third pass, $7,8,9,10$ on the fourth pass, and $11,12,13$ on the fifth pass.
$
$\begin{center}$ 
$\boxed{7}$ $\boxed{11}$ $\boxed{8}$ $\boxed{6}$ $\boxed{4}$ $\boxed{5}$ $\boxed{9}$ $\boxed{12}$ $\boxed{1}$ $\boxed{13}$ $\boxed{10}$ $\boxed{2}$ $\boxed{3}$ $\end{center}$
$For how many of the $13!$ possible orderings of the cards will the $13$ cards be picked up in exactly two passes? $\newline$$\newline$
More generally, prove how many of the $n!$ possible orderings of the cards will $n$ cards be picked up in exactly two passes.",,,,,,,,
1330,14 Nov 2022,Mon,Joe,"2014/5 BMO1, P4 of 6",A,2,,Let $x$ be a real number such that $t=x+x^{-1}$ is an integer greater than 2. Prove that $t_n=x^n+x^{-n}$ is an integer for all positive integers $n$. Determine the values of $n$ for which $t$ divides $t_n$.,,,,,,,,
1324,8 Nov 2022,Tue,Garlic,"2008 Philippine MO, 60.2",A,2,IN,"If $a$ and $b$ are positive real numbers, what is the minimum value of the expression$$\sqrt{a+b} \left( \frac{1}{\sqrt{a}}+\frac{1}{\sqrt{b}} \right) ?$$",,,,,,,,
1317,1 Nov 2022,Tue,Tony,"2014 NZMO, P4 of 10",C,2,GT,"Given \(2014\) points in the plane, no three of which are collinear, what is the minimum number of line segments that can be drawn connecting pairs of points in such a way that adding a single additional line segment of the same sort will always produce a triangle of three connected points?
",,,,,,,,
1310,25 Oct 2022,Tue,Phoenix,2021 IOQM,G,2,,"A bug travels in the coordinate plane moving only along the lines that are parallel to the $x$-axis or $y$-axis. Let $A=(-3,2)$ and $B=(3,-2)$. Consider all possible paths of the bug from $A$ to $B$ of length at most $14$. How many points with integer coordinates lie on at least one of these paths?",,,,,,,,
1303,18 Oct 2022,Tue,Phoenix,2013 HMMT,G,2,,"Let triangle $ABC$ satisfy $2BC = AB + AC$ and have incenter $I$ and circumcircle $\omega$. Let $D$ be the intersection of $AI$ and $\omega$ (with $A, D$ distinct). Prove that $I$ is the midpoint of $AD$.",,,,,,,,
1302,17 Oct 2022,Mon,Daniel,"2007 BMO1, P1 of 6",N,2,,"Let $S$ be a subset of the numbers $\{1, \cdots, 2008\}$ which consists of $756$ distinct numbers. Show that there are two distinct elements $a, b$ of $S$ such that $a+b$ is divisible by $8$.",,,,,,,,
1295,10 Oct 2022,Mon,Daniel,2015 Turkey Junior National Olympiad,A,2,,"Given a non-constant function $f : \mathbb{R} \to \mathbb{R}$, show that there are real numbers $x$ and $y$ such that \begin{equation*}f(x+y) < f(xy).\end{equation*}",,,,,,,,
